Item,description,quantity,unit price,shipping,Total including Tax,Link
rp 2040,micrcontroller,1,7.59,$4.69,$13.51 Aud,https://www.aliexpress.com/item/1005008200917480.html
custom pcb,pcb,1,$2,$1.50,$3.50 USD,PCB Prototype & PCB Fabrication Manufacturer - JLCPCB
1n4148,Diode,16,$1.38,$4.45,$6.33  AUD,100PCS/LOT D0-35 1N4148 High-speed Switching Diodes - AliExpress
m3 screw,screw,4,$2.89,$3.02,$6.44 AUD,Cross Recessed Pan Head Screws M1.2 M1.4 M1.6 M2 M2.5 M3 M4 M5 M6 304 Stainless Steel Rounnd Phillips TV Machine Screw DIN7985 - AliExpress
M3 heatset ,thing for screw,4,$12.59,$3.02,$17.17 AUD,500/750/1400pcs M2 M2.5 M3 M4 Mix Size Set Kit Box Solid Brass Copper Injection Molding Knurl Thread Embedded Nutsert Insert Nut - AliExpress
Key switch,creamy type,16,$16,$8.99,$27.38 AUD,https://www.amazon.com.au/gp/product/B0C3H7PR1Z/ref=ewc_pr_img_2?smid=A1YJEB7OFA8VO&psc=1
Key Caps,white,16,$13,$1.80,$14.81 Aud,Mechkeeb 24 pcs DSA Profile Blank 1u Keycap 1.3mm PBT for MX Switches Keyboard Replacement Keycaps : Amazon.com.au: Computers
Total,,,,,$85.64 Aud,
Total,,,,,$3.50 USD,
Notes,,,,The shipping will,,
,,,,reduced since ,,
,,,,the cost for ,,
,,,,shipping is for,,
,,,,each individual,,
,,,,item. and not for ,,
,,,,multiple items at,,
,,,,once,,